AS,IS,DC,RP,N,AC,IC,RC,DOI
131,0.31,3.04,1.16,0,0.6672,701,670,10.1021/acsnano.1c05458
15,0.22,,0.96,0,0.574,527,392,10.1016/j.apsusc.2018.03.094
80,0.31,2.7,1.05,1,0.78,606.88,545.3,10.1016/j.cej.2021.132359
80,0.31,2.36,1.03,1,0.68,636.4,604,10.1016/j.cej.2021.132359
80,0.31,2.6,1,1,0.61,619.2,603,10.1016/j.cej.2021.132359
3.5,0.31,1.42,0.65,0,0.66,550,500,10.1002/smtd.202100188
300,0.31,3.8,,0,0.64,534,554,10.1002/asia.201601398
150,0.17,2.54,1.41,1,0.27,468.47,460.2,10.1016/j.electacta.2019.01.138
150,0.23,2.85,1.31,1,0.41,383.6,430,10.1016/j.electacta.2019.01.138
150,0.23,3.04,1.49,1,0.33,495.3,465,10.1016/j.electacta.2019.01.138
20,0.31,2.53,1.82,1,0.18,260,236.4,10.1002/celc.202100769
15,0.311,2.22,,0,0.709,520.6,500,10.1016/j.jallcom.2017.10.110
35,0.31,2.75,0.81,0,0.71,430,450,10.1039/C8TA00592C
35,0.31,2.89,0.72,0,0.75,515.95,480,10.1016/j.nanoen.2017.08.051
28,0.32,3.09,0.89,1,0.85,543.68,529.6,10.1021/acsami.7b07964
24,0.31,2.17,0.84,1,0.875,621,600,10.1021/acsnano.0c00366
,0.31,2.17,0.84,1,0.883,530,445,10.1021/acsnano.0c00366
40,0.31,3.3,0.81,1,0.64,542.9,505.8,10.1021/acsaem.2c02618
24,0.31,2.51,2.51,1,0.5,448.2,442,10.1007/s12274-017-1627-y
,0.32,2.09,,1,0.52,840,600,10.1039/D0TA10556B
35,0.33,2.86,,1,,585,520,10.1016/j.jallcom.2022.165336
6.5,0.34,2.02,0.86,1,0.8,534,477,10.1016/j.ensm.2017.08.011
12.1,,3.54,1.09,1,0.221,680,520,10.1088/1361-6528/ab57a5
,0.22,2.87,0.98,1,0.61,651.06,631,10.1002/aenm.201703237
11,0.311,3,1.28,0,0.195,560,445,10.1002/adfm.201705744
100,0.311,2.58,,0,0.27,671,500,10.1002/adfm.201705744
10,0.31,2.2,0.72,0,0.21,720,574,10.1016/j.ensm.2018.10.024
17.5,0.31,3.15,0.82,0,0.65,536,503.6,10.1016/j.jcis.2020.08.050
15,0.35,2.68,1.2,1,0.429,384.6,325.4,10.1007/s12598-022-02143-6
108.7,0.31,2.75,0.71,1,0.62,490,454,10.1002/smll.202205681
20,0.31,2.69,2.3,0,0.2,,310,10.1039/D0TA00254B
22.9,0.31,3.02,0.84,0,0.39,338.88,302.7,10.1016/j.jallcom.2022.166054
15,0.313,3,1.04,0,,445,405,10.15541/jim20210105
8,0.225,2.08,1.55,1,0.2359,400,294.8,10.1016/j.ensm.2022.03.010
8,0.225,2.06,1.4,1,0.1458,400,380,10.1016/j.ensm.2022.03.010
8,0.225,2.9,1.48,1,0.1145,350,330,10.1016/j.ensm.2022.03.010
9,0.31,2.9,1.73,1,0.134,349.95,290,10.1016/j.jallcom.2020.155127
10,0.31,2.23,2.01,1,0.178,510.51,462,10.1016/j.jallcom.2020.155127
12,0.31,3.21,1.79,1,0.221,468.3,382,10.1016/j.jallcom.2020.155127
25,0.23,,3.04,0,0.675,400,421.2,10.1016/j.jallcom.2022.165335
,0.31,2.19,1.36,1,0.763,520.14,400,10.1039/C9TA03380G
400,0.37,1.83,1.3,1,0.28,520.25,403,10.1039/C9TA03380G
200,0.37,2.12,1.27,1,0.31,580.21,410,10.1039/C9TA03380G
100,0.31,3.85,0.95,1,0.66,643.7,610,10.1021/acs.nanolett.8b04468
10,0.31,2.43,1.25,1,0.79,510.3,481,10.1039/C8TA02945H
187,0.31,3,1.02,0,0.69,553.66,396,10.1016/j.electacta.2020.136948
125,0.31,1.73,1.03,0,0.66,575,350,10.1016/j.electacta.2020.136948
,0.311,2.22,,1,0.455,700,537.5,10.1016/j.apsusc.2021.150297
100,0.23,3.43,0.71,0,0.59,580.07,575,10.1039/C7TA06770D
2.86,0.31,2.2,0.94,0,0.85,558.4,427.9,10.1039/C8NR06182C
2.29,0.31,2.33,0.87,0,0.71,570.2,472.9,10.1039/C8NR06182C
1.78,0.31,2.29,0.75,0,0.64,588.4,548,10.1039/C8NR06182C
,0.31,2.21,0.81,0,0.58,561.2,498.7,10.1039/C8NR06182C
6.23,0.31,3.08,0.96,0,0.5,495,460,10.1016/j.jcis.2019.03.029
55,0.31,2.2,,0,0.58,420,312,10.1039/C8NR03829E
50,0.31,3.22,1.03,0,0.71,599.35,513,10.1021/acs.inorgchem.1c01758
10,0.31,2.95,1.02,1,0.41,402.52,393,10.1016/j.nanoen.2015.07.021
200,0.31,2.62,0.3,1,0.28,480.61,475.6,10.1021/acsami.3c03340
50,0.37,3.64,0.7,0,0.84,661.13,593,10.1021/acsnano.2c09679.
10,0.23,3.4,1.44,1,0.1,370,340,10.1002/batt.202300022
20,0.32,2.93,0.95,0,0.78,540.4,540.5,10.3390/nano13020254
,0.31,3.75,0.8,1,0.67,619.2,568.9,10.1021/acsami.3c07592
290,0.31,2.17,1.27,0,0.49,531.76,423,10.1016/j.ssi.2023.116243
150,0.22,4.5,0.89,1,0.57,430.8,400.9,10.1039/c7ta03060f
30,0.31,1.68,0.69,0,0.55,420.16,401,10.1016/j.electacta.2017.04.164
